id	summary	status	owner	type	component	version
2183	Empty posts are still posts	closed	adrian	enhancement	Generic views	0.9
1255	Error in tutorial 2 (part on admin-interface)	closed	adrian	defect	contrib.admin	0.9
1246	'djp.com/documentation/templates/#using-the-built-in-reference' should note that appending /doc/ yields the described documentation.	closed	jacob	defect	Documentation	0.9
1239	Please remove the catch-all try/except in template rendering	closed	adrian	defect	Template system	0.9
1236	Django hiding exceptions	closed	russellm	defect	Template system	0.9
1174	admin is flaky - it should work even with errors.	closed	adrian	enhancement	Template system	0.9
1168	Documentation Link Missing From Admin Pages	closed	adrian	defect	contrib.admin	0.9
1167	ADMIN_FOR setting not documented	closed	adrian	defect	contrib.admin	0.9
1152	distinct keyword in model seems not working	closed	adrian	defect	Core (Other)	0.9
1151	django-admin.py install projectname fails in some queries	closed	adrian	defect	contrib.admin	0.9
1150	The custom method does not work	closed	adrian	defect	Core (Other)	0.9
1140	[patch] using another type of template (zpt) with render_to_response / render_to_string	closed	adrian	enhancement	Template system	0.9
1122	 Django do not serve static binary files (e.g. images) correctly	closed	adrian	defect	Core (Other)	0.9
1121	Wrong default-character-set in MySQL 4.1x/5.x (win32)	closed	adrian	defect	Core (Other)	0.9
1115	can't update model in db if PK is not called 'id'	closed	adrian	defect	Core (Other)	0.9
1106	Python Egg differs from the tar.gz Version	closed	adrian	defect	Tools	0.9
1094	missing html escaping in django admin	closed	adrian	defect	contrib.admin	0.9
1009	Small bug in HasAllowableSize Validator	closed	Anybody	defect	Validators	0.9
830	Add AUTHORS file to distribution	closed	jacob	defect	Documentation	0.9
750	i18n should ideally respect the languages supported on a per-application basis	closed	hugo	defect	Tools	0.9
688	[patch] Error handlers lack context.	closed	adrian	defect	Translations	0.9
686	sqlreset references django_admin_log	closed	adrian	enhancement	Generic views	0.9
566	No mention about using quotes to ignore variable resolution in templates.	closed	jacob	defect	contrib.admin	0.9
501	{{ block.super }} returns value of the most remote ancestor	closed	adrian	enhancement	contrib.syndication	0.9
295	[patch] Add reverse counter variables to template &#34;for loops&#34;	closed	adrian	defect	Core (Management commands)	0.9
4651	[0.91-bugfixes][patch] UnicodeCursorWrapper prevents psycopg1 backend from taking dict sql params	closed	ubernostrum		"Database layer (models, ORM)"	0.91
4195	Please provide docs for .91	closed	adrian		Tools	0.91
4167	[0.91-bugfixes][patch] FormFields have list-mutability issues with validator_list argument	closed	ubernostrum		Core (Other)	0.91
3938	[0.91-bugfixes][patch] Admin list page for one-to-one objects breaks after viewing detail page	closed	ubernostrum		Core (Other)	0.91
3550	Please update my entry in Authors	closed	jacob		Documentation	0.91
3209	links	closed	adrian	defect	contrib.admin	0.91
2909	Invalid utf-8 decode errors handling	closed	adrian	defect	Validators	0.91
2518	Should not use datetime.today() to filter datetime field	closed	adrian	defect	contrib.admin	0.91
2431	setuptools download fails at installation	closed	adrian	defect	Tools	0.91
2278	None	closed	adrian	defect	django-admin.py inspectdb	0.91
2219	Skip the step to edit the settings.py	closed	jacob	defect	Documentation	0.91
2035	"All perfect with Developer mode, but it not work in production using Apache"	closed	manuparra@¡­	defect	Core (Other)	0.91
1719	autocomplete is missing in shell	closed	adrian	enhancement	contrib.admin	0.91
1672	[patch] Template tags ifequal and ifnotequal throw exception if variable does not resolve.	closed	adrian	defect	Template system	0.91
1671	spam	closed	"We have the biggest collection of [url=http://blog.lide.cz/frankfigo/] Free ringtones[/url] online! Besides our free ringtones we also have the best polyphonic ringtones that you can download. [url=http://myblog.de/nokia-ringtone] Nokia ringtones[/url] 
<a href=""http://blog.lide.cz/frankfigo/"">Free ringtones</a>
<a href=""http://myblog.de/nokia-ringtone"">Nokia ringtones</a>"	enhancement	contrib.syndication	0.91
1657	"CheckboxSelectMultipleField renders a ""disordered"" list (""patch"")"	closed	adrian	defect	Core (Other)	0.91
1635	[patch] Related object popup fails for edit_inline objects in IE/Win	closed	adrian	defect	contrib.admin	0.91
1630	"add ""host"" and ""path"" to DjangoContext"	closed	adrian	enhancement	contrib.admin	0.91
1611	recent actions list in the auto admin contains broken links to deleted objects.	closed	adrian	defect	contrib.admin	0.91
1608	When using a non existent field as part of a models representation django throws a TemplateSyntaxError	closed	adrian	defect	Core (Other)	0.91
1605	DateTime fields not being populated back	closed	adrian	defect	Core (Other)	0.91
1575	REGROUP tag makes two groups with the same value	closed	adrian	defect	Template system	0.91
1574	Pluralisation	closed	adrian	defect	"Database layer (models, ORM)"	0.91
1551	Base handler error handling gets confused when the request is bad	closed	adrian	defect	Core (Other)	0.91
1545	DB Initialization in Tutorial does not work.	closed	adrian	defect	"Database layer (models, ORM)"	0.91
1534	[patch] Client-side encoding of admin logins	closed	adrian	enhancement	contrib.admin	0.91
1530	[patch] making distinct=True work with get_count	closed	adrian	enhancement	Core (Other)	0.91
1529	[patch] Add authenticated SMTP capability to django.core.mail	closed	adrian	enhancement	Core (Other)	0.91
1517	Query result ordering on field in different table broken when doing join on same table	closed	adrian	defect	"Database layer (models, ORM)"	0.91
1513	Multiple references to the same block is prohibited	closed	adrian	enhancement	Template system	0.91
1454	[patch] DB API quotes some SQL clauses that are not words and shouldn't be quoted	closed	adrian	defect	"Database layer (models, ORM)"	0.91
1430	"custom templatetags, custom tag/filter definitions file naming convention."	closed	adrian	defect	Template system	0.91
1383	ManyToManyField to a class with a OneToOneField fails	closed	adrian	defect	contrib.admin	0.91
1379	"get_relatedobject fails with  ForeignKey(""self"")"	closed	adrian	defect	"Database layer (models, ORM)"	0.91
1345	Datetime formatters should be replaced to use django's own translation	closed	hugo	enhancement	Translations	0.91
1340	Add edit_inline support for OneToOne relationships	closed	adrian	enhancement	"Database layer (models, ORM)"	0.91
1311	'python manage.py sqlclear some_app' - fails to generate SQL when database is down	closed	adrian	defect	Core (Other)	0.91
1281	"Options.get_field() fails to check one_to_one_field, causes bogus validation error"	closed	adrian	defect	Metasystem	0.91
1245	[patch] Admin interface broken for OneToOne relations	closed	adrian	defect	contrib.admin	0.91
1222	[patch] magic-removal: some magic still lurking in django.views.generic.create_update	closed	anonymous	task	Testing framework	0.91
999	'bool' object has no attribute 'get' when trying to add a record	closed	adrian	defect	Metasystem	0.91
872	fields.TextField should pass 'rows' argument to its formfields.LargeTextField	closed	adrian	enhancement	contrib.admin	0.91
834	authentication documentation should document the viewfuncs in django.views.auth.login	closed	adrian	defect	Documentation	0.91
798	"Specifying username, email, and password on as arguments to &#34;django-admin.py createsuperuser&#34;"	closed	adrian	task	Translations	0.91
695	"sqlupdate, creates sql to update the database based on an updated model file"	closed	adrian	defect	"Database layer (models, ORM)"	0.91
669	site table 	closed	adrian	defect	Metasystem	0.91
416	"Automate site introspection for url pattern modules, view methods, template directories, and applications"	closed	adrian	task	contrib.admin	0.91
149	Show latest comments on djangoproject.com	closed	adrian	defect	Core (Cache system)	0.91
13077	Bad link in http://www.djangoproject.com/documentation/0.95/models/validation/	closed	nobody		Documentation	0.95
9001	missing translation in 'es' translation	closed	nobody		Translations	0.95
6602	upload huge file more than physcial memory size	closed	nobody		HTTP handling	0.95
5404	0.95 tutorials next/prev links redirect to latest version	closed	nobody		Documentation	0.95
4567	(Ubuntu Feisty) Server won't start	closed	adrian		django-admin.py runserver	0.95
4244	Session modification sensing	closed	adrian		Core (Other)	0.95
4216	FileField validator bug in django0.95	closed	adrian		Validators	0.95
4116	Bad cross-links in 0.95 tutorial	closed	jacob		Documentation	0.95
3934	edit_inline foreign key in profile module	closed	nobody		contrib.admin	0.95
3784	No (obvious) way to restrict an entire site to logged in users	closed	jacob		Uncategorized	0.95
3730	modpython handler fails with mod_python 2.7	closed	adrian		Core (Other)	0.95
3687	django.template needs settings already configured at import time	closed	adrian		Template system	0.95
3608	enable CSS and include Request Objects in RSS framework for complex feeds	closed	adrian		contrib.syndication	0.95
3603	Email validation error on ip literal mail routes	closed	adrian		Forms	0.95
3587	filter() and order_by()	closed	adrian		"Database layer (models, ORM)"	0.95
