number,patch
6686,https://github.com/numpy/numpy/pull/6686.patch
6645,https://github.com/numpy/numpy/pull/6645.patch
6644,https://github.com/numpy/numpy/pull/6644.patch
6643,https://github.com/numpy/numpy/pull/6643.patch
6642,https://github.com/numpy/numpy/pull/6642.patch
6626,https://github.com/numpy/numpy/pull/6626.patch
6621,https://github.com/numpy/numpy/pull/6621.patch
6615,https://github.com/numpy/numpy/pull/6615.patch
6614,https://github.com/numpy/numpy/pull/6614.patch
6604,https://github.com/numpy/numpy/pull/6604.patch
6596,https://github.com/numpy/numpy/pull/6596.patch
6587,https://github.com/numpy/numpy/pull/6587.patch
6580,https://github.com/numpy/numpy/pull/6580.patch
6579,https://github.com/numpy/numpy/pull/6579.patch
6553,https://github.com/numpy/numpy/pull/6553.patch
6544,https://github.com/numpy/numpy/pull/6544.patch
6543,https://github.com/numpy/numpy/pull/6543.patch
6541,https://github.com/numpy/numpy/pull/6541.patch
6538,https://github.com/numpy/numpy/pull/6538.patch
6537,https://github.com/numpy/numpy/pull/6537.patch
6527,https://github.com/numpy/numpy/pull/6527.patch
6526,https://github.com/numpy/numpy/pull/6526.patch
6504,https://github.com/numpy/numpy/pull/6504.patch
6500,https://github.com/numpy/numpy/pull/6500.patch
6490,https://github.com/numpy/numpy/pull/6490.patch
6489,https://github.com/numpy/numpy/pull/6489.patch
6488,https://github.com/numpy/numpy/pull/6488.patch
6487,https://github.com/numpy/numpy/pull/6487.patch
6481,https://github.com/numpy/numpy/pull/6481.patch
6461,https://github.com/numpy/numpy/pull/6461.patch
6460,https://github.com/numpy/numpy/pull/6460.patch
6444,https://github.com/numpy/numpy/pull/6444.patch
6436,https://github.com/numpy/numpy/pull/6436.patch
6432,https://github.com/numpy/numpy/pull/6432.patch
6413,https://github.com/numpy/numpy/pull/6413.patch
6400,https://github.com/numpy/numpy/pull/6400.patch
6386,https://github.com/numpy/numpy/pull/6386.patch
6376,https://github.com/numpy/numpy/pull/6376.patch
6375,https://github.com/numpy/numpy/pull/6375.patch
6374,https://github.com/numpy/numpy/pull/6374.patch
6373,https://github.com/numpy/numpy/pull/6373.patch
6371,https://github.com/numpy/numpy/pull/6371.patch
6362,https://github.com/numpy/numpy/pull/6362.patch
6361,https://github.com/numpy/numpy/pull/6361.patch
6347,https://github.com/numpy/numpy/pull/6347.patch
6346,https://github.com/numpy/numpy/pull/6346.patch
6330,https://github.com/numpy/numpy/pull/6330.patch
6307,https://github.com/numpy/numpy/pull/6307.patch
6306,https://github.com/numpy/numpy/pull/6306.patch
6280,https://github.com/numpy/numpy/pull/6280.patch
6254,https://github.com/numpy/numpy/pull/6254.patch
6245,https://github.com/numpy/numpy/pull/6245.patch
6243,https://github.com/numpy/numpy/pull/6243.patch
6211,https://github.com/numpy/numpy/pull/6211.patch
6169,https://github.com/numpy/numpy/pull/6169.patch
6112,https://github.com/numpy/numpy/pull/6112.patch
6004,https://github.com/numpy/numpy/pull/6004.patch
5982,https://github.com/numpy/numpy/pull/5982.patch
5967,https://github.com/numpy/numpy/pull/5967.patch
5963,https://github.com/numpy/numpy/pull/5963.patch
5962,https://github.com/numpy/numpy/pull/5962.patch
5960,https://github.com/numpy/numpy/pull/5960.patch
5947,https://github.com/numpy/numpy/pull/5947.patch
5946,https://github.com/numpy/numpy/pull/5946.patch
